TIME,IR1,IR2,US
03:24:48,30,120,45
03:25:16,30,120,45
03:31:48,30,120,45
03:10:27,30,120,45
03:11:28,30,120,45
03:11:36,30,120,45
03:11:43,30,120,45
03:12:29,30,120,45
03:13:34,30,120,45
03:13:51,30,120,45
03:14:31,30,120,45
03:17:45,30,120,45
03:18:04,30,120,45
03:19:33,30,120,45
03:20:45,30,120,45
03:20:49,30,120,45
03:23:03,30,120,45
03:24:25,30,120,45
03:24:48,30,120,45
03:25:16,30,120,45
03:31:48,30,120,45
03:35:36,30,120,45
03:35:40,30,120,45
03:08:42,30,120,46
03:09:33,30,120,46
03:11:42,30,120,46
03:12:05,30,120,46
03:12:11,30,120,46
03:12:41,30,120,46
03:12:45,30,120,46
03:12:54,30,120,46
03:13:44,30,120,46
03:13:57,30,120,46
03:08:22,30,120,46
03:08:42,30,120,46
03:09:33,30,120,46
03:11:42,30,120,46
03:12:05,30,120,46
03:12:11,30,120,46
03:12:41,30,120,46
03:12:45,30,120,46
03:12:54,30,120,46
03:13:44,30,120,46
03:13:57,30,120,46
03:15:34,30,120,46
03:15:55,30,120,46
03:17:33,30,120,46
03:17:53,30,120,46
03:18:03,30,120,46
03:18:23,30,120,46
03:19:10,30,120,46
03:19:27,30,120,46
03:19:53,30,120,46
03:08:22,30,120,46
03:08:42,30,120,46
03:09:33,30,120,46
03:11:42,30,120,46
03:12:05,30,120,46
03:12:11,30,120,46
03:12:41,30,120,46
03:12:45,30,120,46
03:12:54,30,120,46
03:13:44,30,120,46
03:13:57,30,120,46
03:15:34,30,120,46
03:15:55,30,120,46
03:17:33,30,120,46
03:17:53,30,120,46
03:18:03,30,120,46
03:18:23,30,120,46
03:19:10,30,120,46
03:19:27,30,120,46
03:19:53,30,120,46
03:24:42,30,120,46
03:25:43,30,120,46
03:25:56,30,120,46
03:26:04,30,120,46
03:08:22,30,120,46
03:08:42,30,120,46
03:09:33,30,120,46
03:11:42,30,120,46
03:12:05,30,120,46
03:12:11,30,120,46
03:12:41,30,120,46
03:12:45,30,120,46
03:12:54,30,120,46
03:13:44,30,120,46
03:13:57,30,120,46
03:15:34,30,120,46
03:15:55,30,120,46
03:17:33,30,120,46
03:17:53,30,120,46
03:18:03,30,120,46
03:18:23,30,120,46
03:19:10,30,120,46
03:19:27,30,120,46
03:19:53,30,120,46
03:24:42,30,120,46
03:25:43,30,120,46
03:25:56,30,120,46
03:26:04,30,120,46
03:26:41,30,120,46
03:08:22,30,120,46
03:08:42,30,120,46
03:09:33,30,120,46
03:11:42,30,120,46
03:12:05,30,120,46
03:12:11,30,120,46
03:12:41,30,120,46
03:12:45,30,120,46
03:12:54,30,120,46
03:13:44,30,120,46
03:13:57,30,120,46
03:15:34,30,120,46
03:15:55,30,120,46
03:17:33,30,120,46
03:17:53,30,120,46
03:18:03,30,120,46
03:18:23,30,120,46
03:19:10,30,120,46
03:19:27,30,120,46
03:19:53,30,120,46
03:24:42,30,120,46
03:25:43,30,120,46
03:25:56,30,120,46
03:26:04,30,120,46
03:26:41,30,120,46
03:08:22,30,120,46
03:08:42,30,120,46
03:09:33,30,120,46
03:11:42,30,120,46
03:12:05,30,120,46
03:12:11,30,120,46
03:12:41,30,120,46
03:12:45,30,120,46
03:12:54,30,120,46
03:13:44,30,120,46
03:13:57,30,120,46
03:15:34,30,120,46
03:15:55,30,120,46
03:17:33,30,120,46
03:17:53,30,120,46
03:18:03,30,120,46
03:18:23,30,120,46
03:19:10,30,120,46
03:19:27,30,120,46
03:19:53,30,120,46
03:24:42,30,120,46
03:25:43,30,120,46
03:25:56,30,120,46
03:26:04,30,120,46
03:26:41,30,120,46
03:32:00,30,120,46
03:08:22,30,120,46
03:08:42,30,120,46
03:09:33,30,120,46
03:11:42,30,120,46
03:12:05,30,120,46
03:12:11,30,120,46
03:12:41,30,120,46
03:12:45,30,120,46
03:12:54,30,120,46
03:13:44,30,120,46
03:13:57,30,120,46
03:15:34,30,120,46
03:15:55,30,120,46
03:17:33,30,120,46
03:17:53,30,120,46
03:18:03,30,120,46
03:18:23,30,120,46
03:19:10,30,120,46
03:19:27,30,120,46
03:19:53,30,120,46
03:24:42,30,120,46
03:25:43,30,120,46
03:25:56,30,120,46
03:26:04,30,120,46
03:26:41,30,120,46
03:32:00,30,120,46
03:32:39,30,120,46
03:08:22,30,120,46
03:08:42,30,120,46
03:09:33,30,120,46
03:11:42,30,120,46
03:12:05,30,120,46
03:12:11,30,120,46
03:12:41,30,120,46
03:12:45,30,120,46
03:12:54,30,120,46
03:13:44,30,120,46
03:13:57,30,120,46
03:15:34,30,120,46
03:15:55,30,120,46
03:17:33,30,120,46
03:17:53,30,120,46
03:18:03,30,120,46
03:18:23,30,120,46
03:19:10,30,120,46
03:19:27,30,120,46
03:19:53,30,120,46
03:24:42,30,120,46
03:25:43,30,120,46
03:25:56,30,120,46
03:26:04,30,120,46
03:26:41,30,120,46
03:32:00,30,120,46
03:32:39,30,120,46
03:36:09,30,120,46
03:08:39,30,120,47
03:09:00,30,120,47
03:09:10,30,120,47
03:11:57,30,120,47
03:12:43,30,120,47
03:13:08,30,120,47
03:14:00,30,120,47
03:14:14,30,120,47
03:14:35,30,120,47
03:08:39,30,120,47
03:09:00,30,120,47
03:09:10,30,120,47
03:11:57,30,120,47
03:12:43,30,120,47
03:13:08,30,120,47
03:14:00,30,120,47
03:14:14,30,120,47
03:14:35,30,120,47
03:15:39,30,120,47
03:17:27,30,120,47
03:17:39,30,120,47
03:17:39,30,120,47
03:18:18,30,120,47
03:18:55,30,120,47
03:19:30,30,120,47
03:19:35,30,120,47
03:20:57,30,120,47
03:20:58,30,120,47
03:20:58,30,120,47
03:08:39,30,120,47
03:09:00,30,120,47
03:09:10,30,120,47
03:11:57,30,120,47
03:12:43,30,120,47
03:13:08,30,120,47
03:14:00,30,120,47
03:14:14,30,120,47
03:14:35,30,120,47
03:15:39,30,120,47
03:17:27,30,120,47
03:17:39,30,120,47
03:17:39,30,120,47
03:18:18,30,120,47
03:18:55,30,120,47
03:19:30,30,120,47
03:19:35,30,120,47
03:20:57,30,120,47
03:20:58,30,120,47
03:20:58,30,120,47
03:25:10,30,120,47
03:25:52,30,120,47
03:08:39,30,120,47
03:09:00,30,120,47
03:09:10,30,120,47
03:11:57,30,120,47
03:12:43,30,120,47
03:13:08,30,120,47
03:14:00,30,120,47
03:14:14,30,120,47
03:14:35,30,120,47
03:15:39,30,120,47
03:17:27,30,120,47
03:17:39,30,120,47
03:17:39,30,120,47
03:18:18,30,120,47
03:18:55,30,120,47
03:19:30,30,120,47
03:19:35,30,120,47
03:20:57,30,120,47
03:20:58,30,120,47
03:20:58,30,120,47
03:25:10,30,120,47
03:25:52,30,120,47
03:08:39,30,120,47
03:09:00,30,120,47
03:09:10,30,120,47
03:11:57,30,120,47
03:12:43,30,120,47
03:13:08,30,120,47
03:14:00,30,120,47
03:14:14,30,120,47
03:14:35,30,120,47
03:15:39,30,120,47
03:17:27,30,120,47
03:17:39,30,120,47
03:17:39,30,120,47
03:18:18,30,120,47
03:18:55,30,120,47
03:19:30,30,120,47
03:19:35,30,120,47
03:20:57,30,120,47
03:20:58,30,120,47
03:20:58,30,120,47
03:25:10,30,120,47
03:25:52,30,120,47
03:08:39,30,120,47
03:09:00,30,120,47
03:09:10,30,120,47
03:11:57,30,120,47
03:12:43,30,120,47
03:13:08,30,120,47
03:14:00,30,120,47
03:14:14,30,120,47
03:14:35,30,120,47
03:15:39,30,120,47
03:17:27,30,120,47
03:17:39,30,120,47
03:17:39,30,120,47
03:18:18,30,120,47
03:18:55,30,120,47
03:19:30,30,120,47
03:19:35,30,120,47
03:20:57,30,120,47
03:20:58,30,120,47
03:20:58,30,120,47
03:25:10,30,120,47
03:25:52,30,120,47
03:31:24,30,120,47
03:08:39,30,120,47
03:09:00,30,120,47
03:09:10,30,120,47
03:11:57,30,120,47
03:12:43,30,120,47
03:13:08,30,120,47
03:14:00,30,120,47
03:14:14,30,120,47
03:14:35,30,120,47
03:15:39,30,120,47
03:17:27,30,120,47
03:17:39,30,120,47
03:17:39,30,120,47
03:18:18,30,120,47
03:18:55,30,120,47
03:19:30,30,120,47
03:19:35,30,120,47
03:20:57,30,120,47
03:20:58,30,120,47
03:20:58,30,120,47
03:25:10,30,120,47
03:25:52,30,120,47
03:31:24,30,120,47
03:32:44,30,120,47
03:08:39,30,120,47
03:09:00,30,120,47
03:09:10,30,120,47
03:11:57,30,120,47
03:12:43,30,120,47
03:13:08,30,120,47
03:14:00,30,120,47
03:14:14,30,120,47
03:14:35,30,120,47
03:15:39,30,120,47
03:17:27,30,120,47
03:17:39,30,120,47
03:17:39,30,120,47
03:18:18,30,120,47
03:18:55,30,120,47
03:19:30,30,120,47
03:19:35,30,120,47
03:20:57,30,120,47
03:20:58,30,120,47
03:20:58,30,120,47
03:25:10,30,120,47
03:25:52,30,120,47
03:31:24,30,120,47
03:32:44,30,120,47
03:35:31,30,120,47
03:35:43,30,120,47
03:35:51,30,120,47
03:10:15,30,120,48
03:11:08,30,120,48
03:13:38,30,120,48
03:14:20,30,120,48
03:10:15,30,120,48
03:11:08,30,120,48
03:13:38,30,120,48
03:14:20,30,120,48
03:18:15,30,120,48
03:18:33,30,120,48
03:19:20,30,120,48
03:10:15,30,120,48
03:11:08,30,120,48
03:13:38,30,120,48
03:14:20,30,120,48
03:18:15,30,120,48
03:18:33,30,120,48
03:19:20,30,120,48
03:24:29,30,120,48
03:24:52,30,120,48
03:25:33,30,120,48
03:25:58,30,120,48
03:26:08,30,120,48
03:10:15,30,120,48
03:11:08,30,120,48
03:13:38,30,120,48
03:14:20,30,120,48
03:18:15,30,120,48
03:18:33,30,120,48
03:19:20,30,120,48
03:24:29,30,120,48
03:24:52,30,120,48
03:25:33,30,120,48
03:25:58,30,120,48
